6549	2710	3
34883	4588	3
2445	2762	3
71	1831	3
29252	3004	4
29760	3038	3
1365	3189	1
15634	1682	3
20840	2950	3
252	2596	3
10855	2849	3
4468	1749	3
1372	2766	5
4420	1516	3
4737	1619	3
4675	1503	3
7333	4853	3
8311	1761	1
3167	3168	4
37629	5924	5
1563	4976	2
4422	5143	3
3073	2287	3
1798	2954	3
6405	1670	3
26002	2800	3
2415	2774	3
2224	5186	3
7291	4225	2
20957	2520	3
5917	2429	1
17656	2520	2
4187	5018	3
4266	7149	5
8367	5075	4
3695	1682	3
9042	4463	3
2861	1511	5
32468	3340	2
2688	2670	1
6592	1869	3
10123	2300	4
3254	1670	3
8126	4339	5
33546	3898	3
2861	7623	3
3023	2313	3
14689	2184	3
1316	1624	3
7850	7203	3
2273	2716	5
7598	1820	3
21505	3497	5
12849	1624	3
312	2288	3
18628	3057	3
10891	5101	3
5008	1459	3
3981	1408	3
24212	9324	5
5877	2644	3
13334	2657	2
2154	1869	3
2967	1938	2
2000	7203	3
14354	3238	4
21778	2134	3
6541	1438	3
23492	2639	3
2904	2210	4
27199	2950	5
8167	4552	3
31193	3081	3
8893	3069	3
6823	7201	5
2574	4128	1
770	5618	3
10927	2974	4
21065	2300	3
18197	3130	3
9022	3265	3
2283	3164	3
8377	2959	3
4865	3038	3
742	2450	4
3225	1464	3
24736	3710	3
28718	7623	3
17620	1852	3
10335	1470	3
14830	3118	3
37788	7100	1
7717	4548	3
36250	5129	3
922	3833	2
7587	3081	3
718	1526	3
16620	5142	3
5644	4238	3
10051	2967	3
3355	5626	3
6140	2186	3
19121	5252	3
2379	2602	3
22493	2436	2
8083	1878	3
15282	4635	3
171	5293	5
17016	5399	3
27574	2899	3
5104	2520	2
3317	3944	2
23727	4080	3
787	3306	3
36325	5241	2
4567	3785	2
1918	1573	3
5116	1487	3
2149	2959	3
247	46	1
5383	3250	2
3307	3882	3
11341	3968	3
3298	2858	3
7647	1681	3
6619	1438	3
7344	1457	4
11071	3057	3
2930	3585	2
4071	4474	5
9235	1457	3
20542	1959	2
19805	2005	3
2790	1520	4
35681	5057	1
14330	2939	3
2379	1764	3
8640	1487	3
2546	1490	3
2656	2135	2
2650	1391	3
358	2196	5
18198	5171	3
5451	2351	5
15998	1661	4
38614	7668	3
291	5246	2
76	1494	5
3818	3982	5
37461	5535	2
1590	3102	3
22591	7055	2
7534	2962	5
3863	1666	3
22851	2950	3
23975	2593	3
3415	2164	3
5619	2447	3
1236	9184	5
14164	2784	3
19564	9494	5
27094	3195	1
2301	7671	1
36401	5142	3
8273	1995	3
12224	7653	3
1669	3082	3
10676	1592	1
1918	6967	1
24952	2594	3
7	5237	5
15356	3113	3
35831	5476	5
37862	7086	5
5165	3004	3
5192	3087	3
11127	4593	1
6470	1491	3
100	1487	3
37898	7597	1
10506	1892	3
7837	3081	3
2344	1813	2
37645	6016	5
2136	1387	2
28859	3441	2
4420	1438	3
